 Название вакансии; , URL; , Название Компании; , Описание; 
;;;;
Python developer ; ,https://krasnodar.hh.ru/vacancy/35833786?query=Python ; ,ИП Черкасов Константин Юрьевич ; , ; 
;;;;
Python разработчик ; ,https://krasnodar.hh.ru/vacancy/35062001?query=Python ; , Performance Lab (Перфоманс Лаб) ;" ,""Разработка HR инструментов. Составление технической документации по системам. Исправление и доработка по текущим ошибкам, периодически возникающим в данных системах.  ";" """
;;;;
Junior Data Engineer ; ,https://krasnodar.hh.ru/vacancy/35378576?query=Python ; , Plarium ;" ,""Проектирование и разработка распределенных систем сбора и обработки данных. Анализ производительности, масштабирование существующих систем в соответствии с возрастающей нагрузкой.  ";" """
;;;;
Python Developer ; ,https://krasnodar.hh.ru/vacancy/35240421?query=Python ; ,ООО ЛАЙТ МЭП ; ,Разработка backend’а высоконагруженных проектов (более 500 тыс.запросов на сервер в минуту). Оптимизация и расширение функционала имеющегося кода. ; 
;;;;
Junior Python разработчик ; ,https://krasnodar.hh.ru/vacancy/35128950?query=Python ; ,ООО МедРейтинг ; ,Разработка новых интеграций с МИС (медицинская информационная система). Поддержка и развитие существующих интеграций. ; 
;;;;
Fullstack-разработчик (Python + Django) ; ,https://krasnodar.hh.ru/vacancy/35604555?query=Python ; ,ООО ЦЦЭТ ; ,Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... ; 
;;;;
Junior Python разработчик (Django) ; ,https://krasnodar.hh.ru/vacancy/33295360?query=Python ; ,ООО МедРейтинг ;" ,""Для того, чтобы присоединиться к отделу разработки необходимо: ";" """
;;;;
Тестировщик ПО ; ,https://krasnodar.hh.ru/vacancy/32356747?query=Python ; , Ростелеком - Центры обработки данных ; ,Выполнение задач по функциональному и интеграционному тестированию информационных систем или их компонентов. Составление и актуализация существующих тестовых сценариев.  ; 
;;;;
Программист Python ; ,https://krasnodar.hh.ru/vacancy/35659124?query=Python ; ,ООО Кубэкс Рус ; ,Работал с Docker. ; 
;;;;
Middle Python разработчик (Django) ; ,https://krasnodar.hh.ru/vacancy/34216052?query=Python ; ,ООО МедРейтинг ;" ,""Django-тесты (unit, view). ";" """
;;;;
Data Scientist / Machine Learning Engineer ; ,https://krasnodar.hh.ru/vacancy/35620114?query=Python ; ,ООО ПРОФИТКЛИКС ; ,Интеграция ML решений в существующие продукты. Разработка алгоритмов на Python/R/etc. Дизайн и проведение A/B-тестов совместно с... ; 
;;;;
Machine Learning Engineer ; ,https://krasnodar.hh.ru/vacancy/35286865?query=Python ; , Plarium ; ,Преобразование данных и анализ соответствующих действий. Тесное сотрудничество с Data Scientist. Проектирование систем машинного обучения. Исследование и внедрение алгоритмов и... ; 
;;;;
Senior Data Scientist (NLP) ; ,https://krasnodar.hh.ru/vacancy/35437262?query=Python ; , Akvelon ;" ,""Разрабатывать инструменты для сбора данных. * Анализировать и обрабатывать текстовую информацию, с целью ее дальнейшей кластеризации и классификации. ";" """
;;;;
Middle Python Developer ; ,https://krasnodar.hh.ru/vacancy/34470526?query=Python ; , DataArt ;" ,""Обучение английскому языку: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях и встречах технологических... ";" """
;;;;
Разработчик Python (Full stack) ; ,https://krasnodar.hh.ru/vacancy/35096172?query=Python ;" ,"" МАГНИТ, Розничная сеть ";" "",""...на основе языка Python. Разработка клиентской части сервисов и приложений. Разработка среднего слоя приложений на языке Python. Создание приложений """"с... ";" """
;;;;
Senior Python Developer ; ,https://krasnodar.hh.ru/vacancy/35447784?query=Python ; , DataArt ;" ,""Обучение английскому языку: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях и встречах технологических... ";" """
;;;;
Python-разработчик ; ,https://krasnodar.hh.ru/vacancy/35570148?query=Python ; ,ООО ЦЦЭТ ; ,Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... ; 
;;;;
Python Programmer (Программист Python) ; ,https://krasnodar.hh.ru/vacancy/35310532?query=Python ; , Playrix ;" ,""Разработка сервисов маркетинга для автоматизированного принятия решений на основе анализа больших данных (в работе мы используем: Python 3.7, Django... ";" """
;;;;
Middle Front-end Developer ; ,https://krasnodar.hh.ru/vacancy/35742043?query=Python ; , Akvelon ; ,Разработка компонентов интерфейса на ReactJS+Redux. Проведение пользовательских экспериментов и А/Б тестирований. Реализация нового функционала и баг-фиксинг.  ; 
;;;;
Разработчик Python backend ; ,https://krasnodar.hh.ru/vacancy/33944337?query=Python ; , Офисный Мир КМ ; ,Задачи: Разработка микросервисов и API на Python. Знаком с Django Framework. Есть опыть работы с брокером сообщений RabbitMQ.  ; 
;;;;
Программист Python ; ,https://krasnodar.hh.ru/vacancy/34564912?query=Python ; , Zebrains ; ,Умние проектирования микросерверной организации приложения. Самостоятельный поиск решений. Ответственно относиться к чистоте написанного кода. ; 
;;;;
Разработчик Python ; ,https://krasnodar.hh.ru/vacancy/35410071?query=Python ; ,ООО Ростелеком Информационные Технологии ; ,Сайт RT.RU – основной сайт Ростелекома для физических и юридических лиц. Система SSO – система единого входа в личные кабинеты услуг для... ; 
;;;;
Senior Front-end Developer ; ,https://krasnodar.hh.ru/vacancy/35741892?query=Python ; , Akvelon ; ,Разработка компонентов интерфейса на ReactJS+Redux. Проведение пользовательских экспериментов и А/Б тестирований. Реализация нового функционала и баг-фиксинг.  ; 
;;;;
Data Engineer ; ,https://krasnodar.hh.ru/vacancy/34269688?query=Python ; , Plarium ;" ,""Проектирование и разработка распределенных систем сбора и обработки данных. Анализ производительности, масштабирование существующих систем в соответствии с возрастающей нагрузкой.  ";" """
;;;;
Senior Python разработчик (Django) ; ,https://krasnodar.hh.ru/vacancy/33305447?query=Python ; ,ООО МедРейтинг ;" ,""Django-тесты (unit, view). ";" """
;;;;
Fullstack-разработчик (PHP / Node.js / Python) ; ,https://krasnodar.hh.ru/vacancy/34266667?query=Python ; ,ООО ЦЦЭТ ; ,Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... ; 
;;;;
Data Science specialist ; ,https://krasnodar.hh.ru/vacancy/35563608?query=Python ; ,ООО Нейрофреш ;" ,""Анализ данных, собираемых для машинного обучения. Апробация различных вариаций баз данных на различных моделях машинного обучения. Определение требований к наборам... ";" """
;;;;
"Разработчик приложений, программист ; ,https://krasnodar.hh.ru/vacancy/35858265?query=Python "; , Мастер Микс ; ,написание моб.приложения и интеграция его с внешними базами данных. - управление из моб.приложения внешними устройствами через api. - создание нативных приложений на... ; ;
;;;;
Fullstack-разработчик (Node.js) ; ,https://krasnodar.hh.ru/vacancy/34074634?query=Python ; ,ООО ЦЦЭТ ; ,Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... ; 
;;;;
Специалист по сопровождению информационных систем ; ,https://krasnodar.hh.ru/vacancy/35836128?query=Python ; ,ООО IT2G ;" ,""Изучение бизнес-процессов и документации на ИС. Выявление и локализация дефектов в работе ИС. Эксплуатация ИС, проведение регламентных работ.  ";" """
;;;;
Game Analyst ; ,https://krasnodar.hh.ru/vacancy/35728373?query=Python ; , Plarium ;" ,""Мониторинг активности игроков, их поведения в игре, создание аналитической картины продукта. Выявление областей, дающих недостаточный результат, взаимодействие с командой разработчиков... ";" """
;;;;
Инженер-программист/ ASIC verification engineer ; ,https://krasnodar.hh.ru/vacancy/35824544?query=Python ; , Waves Audio ; ,разработка программных моделей и тестовых сценариев для верификации интегральных схем. ; 
;;;;
Младший научный сотрудник в г.Сочи ; ,https://krasnodar.hh.ru/vacancy/35847234?query=Python ; , Образовательный Фонд «Талант и успех» ;" ,""Участие в сборе данных (в том числе лонгитюдных). Предобработка и анализ данных (тесты, опросники, электроэнцефалографические данные и данные движений глаз).  ";" """
;;;;
DevOps engineer ; ,https://krasnodar.hh.ru/vacancy/35321867?query=Python ; ,ООО ClearScale ;" ,""ClearScale LLC (штаб-квартира: Сан-Франциско, Калифорния, США) - AWS Premier Consulting Partner, уже более 10 лет предлагает полный спектр профессиональных... ";" """
;;;;
DevOps специалист ; ,https://krasnodar.hh.ru/vacancy/35565639?query=Python ; , FinFort ;" ,""FreeSwitch. Ведение рабочей документации. - Интеграция web-приложений и call-центра компании . - Инсталляция, сопровождение и развитие VoIP-инфраструктуры компании (Asterisk, FreeSWITCH). ";" """
;;;;
"Senior Python Developer, Financial Software Solutions ; ,https://krasnodar.hh.ru/vacancy/35495315?query=Python "; , DataArt ;" ,""О работе. - Изучение и практика английского: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях... ";" """;
;;;;
"Full Stack Developer / PHP Программист (Middle, Senior) ; ,https://krasnodar.hh.ru/vacancy/35836710?query=Python "; ,ООО Эфир ;" ,""Mysql, написание SQL запросов, проектирование реляционных БД. Готов вести проект с нуля. ";" """;
;;;;
Руководитель разработки / Teamlead ; ,https://krasnodar.hh.ru/vacancy/35159347?query=Python ; ,ООО 1С-Старт ;" ,""Один из мейнстримовых языков для web-разработки (Java, Python, C#, Ruby, PHP, Node.js). Современный фреймворк с полноценным IoC.  ";" """
;;;;
Fullstack Python Software Developer ; ,https://krasnodar.hh.ru/vacancy/35281155?query=Python ; , Sperasoft ;" ,""Design, author, maintain and refactor internal sites that meet all design, technical and schedule requirements. Work closely with QA and... ";" """
;;;;
Администратор сервера приложений ; ,https://krasnodar.hh.ru/vacancy/35832183?query=Python ; ,ПАО Ростелеком ; ,Поддержка систем мониторинга. Конфигурация серверного ПО. Поддержка внутренних пользователей системы (поддержка работоспособности системы по обращениям). Обновления поддерживаемых систем. ; 
;;;;
Инженер технической поддержки / DevOps инженер ; ,https://krasnodar.hh.ru/vacancy/35571486?query=Python ; ,ООО Медиа-тел ;" ,""Исследование и решение проблем, возникающих в процессе поддержки высоконагруженных, отказоустойчивых телекоммуникационных решений с высокой доступностью. Написание релизов для деплоя ПО.  ";" """
;;;;
DevOps Engineer (DevOps инженер) Москва ; ,https://krasnodar.hh.ru/vacancy/35805172?query=Python ; , DriverPack Solution ; ,Нужно помочь разработчикам настроить цикл CI/CD для новых проектов. Тут придётся потрудиться: подумать над конфигурацией linux-серверов и сети... ; 
;;;;
"Senior Python (Team Lead) Developer, Global Recorded Music Company ; ,https://krasnodar.hh.ru/vacancy/35495274?query=Python "; , DataArt ;" ,""О работе. Планируется расширение команды и рост проектов компании. На очереди разработка инструментов процессинга новых исполнителей и треков, управление лицензиями... ";" """;
;;;;
Прикладной администратор (Единой Интеграционной Платформы) ; ,https://krasnodar.hh.ru/vacancy/34751402?query=Python ; ,ПАО Ростелеком ;" ,""Прием и обработка инцидентов на 2-ой линии технической поддержки, первичная диагностика инцидентов. Консультирование пользователей по вопросам функционирования интеграционных решений.  ";" """
;;;;
DevOps Engineer (IoT Platform ) ; ,https://krasnodar.hh.ru/vacancy/35132838?query=Python ; , DataArt ;" ,""Увеличение времени безотказной работы и доступности системы, обеспечение функционирования и оптимальной производительности по SLA. Организация сквозного мониторинга и оповещений по... ";" """
;;;;
Программист MQL ; ,https://krasnodar.hh.ru/vacancy/35792688?query=Python ; ,ООО Инста ;" ,""Работа с индикаторами графических фигур (Pattern Graphix). Интеграция скриптов с внутренними и внешними системами на C#, C++, Python, PHP. ";" """
;;;;
DevOps администратор ; ,https://krasnodar.hh.ru/vacancy/32855588?query=Python ; , LORUS SCM ;" ,""Конфигурация, настройка и Поддержка инфраструктуры в облачных сервисах (Яндекс, Mail.ru). Мониторинг состояния серверов ИТ систем и реагирование на инциденты.  ";" """
;;;;
Ведущий системный администратор ; ,https://krasnodar.hh.ru/vacancy/35588451?query=Python ; ,ООО ТЭКАР ; ,Автоматизация управления инфраструктурой в соответствии с подходом «инфраструктура как код». Администрирование серверов на Windows и Linux посредством Ansible.  ; 
;;;;
"Backend-разработчик (PHP, Node.js, Go, Python) ; ,https://krasnodar.hh.ru/vacancy/35756276?query=Python "; , kt.team ;" ,""Разрабатывать высоконагруженные ecommerce, B2B проекты. Разрабатывать REST и GraphQL API на Magento и Akeneo, Bitrix для сервисов и... ";" """;
;;;;
Инженер технической поддержки ; ,https://krasnodar.hh.ru/vacancy/35671831?query=Python ; , FinFort ; ,...разработчиками по пользовательским проблемам. - Помощь в воспроизведении пользовательских проблем для дальнейшей правки. - Поддержка типовых скриптов импорта / экспорта данных на Python. ; 
;;;;
Python developer ; ,https://krasnodar.hh.ru/vacancy/35833786?query=Python ; ,ИП Черкасов Константин Юрьевич ; , ; 
;;;;
Python разработчик ; ,https://krasnodar.hh.ru/vacancy/35062001?query=Python ; , Performance Lab (Перфоманс Лаб) ;" ,""Разработка HR инструментов. Составление технической документации по системам. Исправление и доработка по текущим ошибкам, периодически возникающим в данных системах.  ";" """
;;;;
Junior Data Engineer ; ,https://krasnodar.hh.ru/vacancy/35378576?query=Python ; , Plarium ;" ,""Проектирование и разработка распределенных систем сбора и обработки данных. Анализ производительности, масштабирование существующих систем в соответствии с возрастающей нагрузкой.  ";" """
;;;;
Python Developer ; ,https://krasnodar.hh.ru/vacancy/35240421?query=Python ; ,ООО ЛАЙТ МЭП ; ,Разработка backend’а высоконагруженных проектов (более 500 тыс.запросов на сервер в минуту). Оптимизация и расширение функционала имеющегося кода. ; 
;;;;
Junior Python разработчик ; ,https://krasnodar.hh.ru/vacancy/35128950?query=Python ; ,ООО МедРейтинг ; ,Разработка новых интеграций с МИС (медицинская информационная система). Поддержка и развитие существующих интеграций. ; 
;;;;
Fullstack-разработчик (Python + Django) ; ,https://krasnodar.hh.ru/vacancy/35604555?query=Python ; ,ООО ЦЦЭТ ; ,Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... ; 
;;;;
Junior Python разработчик (Django) ; ,https://krasnodar.hh.ru/vacancy/33295360?query=Python ; ,ООО МедРейтинг ;" ,""Для того, чтобы присоединиться к отделу разработки необходимо: ";" """
;;;;
Тестировщик ПО ; ,https://krasnodar.hh.ru/vacancy/32356747?query=Python ; , Ростелеком - Центры обработки данных ; ,Выполнение задач по функциональному и интеграционному тестированию информационных систем или их компонентов. Составление и актуализация существующих тестовых сценариев.  ; 
;;;;
Программист Python ; ,https://krasnodar.hh.ru/vacancy/35659124?query=Python ; ,ООО Кубэкс Рус ; ,Работал с Docker. ; 
;;;;
Middle Python разработчик (Django) ; ,https://krasnodar.hh.ru/vacancy/34216052?query=Python ; ,ООО МедРейтинг ;" ,""Django-тесты (unit, view). ";" """
;;;;
Data Scientist / Machine Learning Engineer ; ,https://krasnodar.hh.ru/vacancy/35620114?query=Python ; ,ООО ПРОФИТКЛИКС ; ,Интеграция ML решений в существующие продукты. Разработка алгоритмов на Python/R/etc. Дизайн и проведение A/B-тестов совместно с... ; 
;;;;
Machine Learning Engineer ; ,https://krasnodar.hh.ru/vacancy/35286865?query=Python ; , Plarium ; ,Преобразование данных и анализ соответствующих действий. Тесное сотрудничество с Data Scientist. Проектирование систем машинного обучения. Исследование и внедрение алгоритмов и... ; 
;;;;
Senior Data Scientist (NLP) ; ,https://krasnodar.hh.ru/vacancy/35437262?query=Python ; , Akvelon ;" ,""Разрабатывать инструменты для сбора данных. * Анализировать и обрабатывать текстовую информацию, с целью ее дальнейшей кластеризации и классификации. ";" """
;;;;
Middle Python Developer ; ,https://krasnodar.hh.ru/vacancy/34470526?query=Python ; , DataArt ;" ,""Обучение английскому языку: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях и встречах технологических... ";" """
;;;;
Разработчик Python (Full stack) ; ,https://krasnodar.hh.ru/vacancy/35096172?query=Python ;" ,"" МАГНИТ, Розничная сеть ";" "",""...на основе языка Python. Разработка клиентской части сервисов и приложений. Разработка среднего слоя приложений на языке Python. Создание приложений """"с... ";" """
;;;;
Senior Python Developer ; ,https://krasnodar.hh.ru/vacancy/35447784?query=Python ; , DataArt ;" ,""Обучение английскому языку: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях и встречах технологических... ";" """
;;;;
Python-разработчик ; ,https://krasnodar.hh.ru/vacancy/35570148?query=Python ; ,ООО ЦЦЭТ ; ,Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... ; 
;;;;
Python Programmer (Программист Python) ; ,https://krasnodar.hh.ru/vacancy/35310532?query=Python ; , Playrix ;" ,""Разработка сервисов маркетинга для автоматизированного принятия решений на основе анализа больших данных (в работе мы используем: Python 3.7, Django... ";" """
;;;;
Middle Front-end Developer ; ,https://krasnodar.hh.ru/vacancy/35742043?query=Python ; , Akvelon ; ,Разработка компонентов интерфейса на ReactJS+Redux. Проведение пользовательских экспериментов и А/Б тестирований. Реализация нового функционала и баг-фиксинг.  ; 
;;;;
Разработчик Python backend ; ,https://krasnodar.hh.ru/vacancy/33944337?query=Python ; , Офисный Мир КМ ; ,Задачи: Разработка микросервисов и API на Python. Знаком с Django Framework. Есть опыть работы с брокером сообщений RabbitMQ.  ; 
;;;;
Программист Python ; ,https://krasnodar.hh.ru/vacancy/34564912?query=Python ; , Zebrains ; ,Умние проектирования микросерверной организации приложения. Самостоятельный поиск решений. Ответственно относиться к чистоте написанного кода. ; 
;;;;
Разработчик Python ; ,https://krasnodar.hh.ru/vacancy/35410071?query=Python ; ,ООО Ростелеком Информационные Технологии ; ,Сайт RT.RU – основной сайт Ростелекома для физических и юридических лиц. Система SSO – система единого входа в личные кабинеты услуг для... ; 
;;;;
